Country,Dominant_Emotion,Number of Tweets,Percentage
AUS,2,55,69.62025316455697
CAN,2,104,67.53246753246754
GBR,2,644,67.8609062170706
IND,2,275,63.80510440835266
PAK,2,55,71.42857142857143
USA,2,664,64.65433300876339
NZL,0,664,64.65433300876339
RUS,1,664,64.65433300876339
AFG,2,287,59.30014639497848 
AGO,3,78,51.70925608014922 
ALB,undefined,-,-
ARE,2,198,66.92191769546963
ARG,2,478,69.46369428659271 
ARM,2,326,60.69648039893412 
ATA,undefined,-,- 
ATF,3,68,64.99958195428765 
AUT,3,74,55.21068217377943 
AZE,0,113,51.74910243455823 
BDI,2,11,65.56067100292903 
BEL,2,125,57.55639240890163 
BEN,3,403,55.972159421166204 
BFA,2,138,59.886851578153404 
BGD,3,47,61.79861798661075 
BGR,2,416,68.74596619142328 
BHS,1,45,55.254186195398546 
BIH,3,493,57.560517861453356 
BLR,1,356,59.212393918230504 
BLZ,2,418,63.91176122636671 
BOL,2,54,58.964705155320836 
BRA,3,64,66.57383500077307 
BRN,2,140,56.15414723713357 
BTN,1,190,60.920362364534455 
BWA,2,376,69.46442057102169 
CAF,2,400,54.26631452709625 
CHE,1,308,65.94631062830075 
CHL,3,141,60.00172120715235 
CHN,4,251,57.22140922074101 
CIV,2,328,60.95870580698329 
CMR,undefined,-,-
COD,3,121,67.17179361167662 
COG,undefined,-,-
COL,2,255,50.591628483365554 
CRI,3,309,68.44080538473922 
CUB,2,66,50.47175643351689 
-99,3,326,63.725686175603386 
CYP,1,188,55.66543859501617 
CZE,2,489,54.26236666815299 
DEU,1,205,56.68084318890662 
DJI,2,119,52.81296769592357 
DNK,1,81,57.40800322926788 
DOM,2,351,57.75237589817063 
DZA,1,333,69.64302129056998 
ECU,2,82,63.66968424261935 
EGY,1,295,58.13547533573478 
ERI,1,32,58.919016506782526 
ESP,2,308,51.919968755341195 
EST,2,229,65.46590706011926 
ETH,2,480,64.55451892869654 
FIN,1,99,59.20486003330544 
FJI,3,324,60.18608973432556 
FLK,2,216,60.359172457857454 
FRA,1,288,53.76214099004868 
GUF,2,366,66.41875704198752 
GAB,undefined,-,-
GEO,4,283,61.16123539840099 
GHA,1,6,52.71646554396746 
GIN,2,75,62.509380599215554 
GMB,4,370,56.59189586913832 
GNB,undefined,-,-
GNQ,1,3,52.95401605216781 
GRC,3,337,53.29777095142768 
GRL,4,433,55.0771283045196 
GTM,2,7,56.6632212373626 
GUY,2,255,64.8341937036883 
HND,2,447,58.32072785287306 
HRV,1,28,50.03744719755447 
HTI,3,154,63.728935984481176 
HUN,1,287,60.654113593304984 
IDN,2,100,50.03744719755447 
IRL,2,423,56.30868818695296 
IRN,0,74,51.02802756360276 
IRQ,2,265,60.40911035284918 
ISL,0,184,58.778207719092194 
ISR,3,237,51.71253204920164 
ITA,1,2,62.414792547474 
JAM,0,410,55.297579886422874 
JOR,2,50,62.454508982535266 
JPN,2,413,65.33481239841952 
KAZ,0,403,67.99321868765949 
KEN,2,186,69.36383955224912 
KGZ,4,469,67.86419189730414 
KHM,2,201,53.89833247068646 
KOR,2,455,63.950792206762685 
-99,2,321,52.99875014991573 
KWT,3,279,64.92497974765888 
LAO,2,395,58.36845304482999 
LBN,2,410,55.18313118991497 
LBR,2,65,69.6455955607741 
LBY,3,342,66.59471266411984 
LKA,2,377,57.43380531138274 
LSO,undefined,-,-
LTU,3,311,51.43773949777212 
LUX,2,266,63.20645396338648 
LVA,1,376,55.64941653545175 
MAR,1,22,61.005629063004655 
MDA,undefined,-,-
MDG,1,343,65.42540426292595 
MEX,1,52,61.300395492171056 
MKD,3,341,63.916137506634385 
MLI,2,210,65.6320774301156 
MMR,2,50,50.945166352214706 
MNE,2,498,55.59447116558594 
MNG,0,4,50.72692310167129 
MOZ,undefined,-,-
MRT,2,415,63.89648716242493 
MWI,4,141,62.20460861830963 
MYS,3,118,61.845897390281166 
NAM,3,312,67.9421342388625 
NCL,undefined,-,-
NER,3,310,59.65758985279773 
NGA,2,141,68.76771700682778 
NIC,2,359,56.121316134384514 
NLD,undefined,-,-
NOR,2,233,68.08990185709175 
NPL,3,281,56.4781480514613 
OMN,4,45,51.93350634203283 
PAN,1,191,69.4149483069104 
PER,2,59,66.56029495960863 
PHL,3,237,64.3482444913436 
PNG,2,420,65.78457622810804 
POL,2,271,66.9639573885739 
PRI,2,151,66.07201164524555 
PRK,2,68,53.23406480814645 
PRT,2,296,59.60754240847219 
PRY,2,103,58.59221127967163 
QAT,1,193,54.69756320831841 
ROU,2,224,61.636470087300395 
RWA,0,279,64.49841610206182 
ESH,1,241,64.05486247162057 
SAU,3,6,68.57218214338539 
SDN,3,417,55.085160994952844 
SSD,1,26,69.89172932234402 
SEN,1,65,69.87604883650792 
SLB,1,28,55.976345927508376 
SLE,undefined,-,-
SLV,0,300,53.354630408849744 
-99,2,236,62.03803926361324 
SOM,2,17,65.80594196737069 
SRB,3,194,52.65103805655304 
SUR,3,328,59.1444116977317 
SVK,2,86,62.02651318225614 
SVN,4,495,67.28993999389233 
SWE,0,249,55.82774229644953 
SWZ,2,254,52.348492321014476 
SYR,1,214,67.43466561779735 
TCD,2,122,52.39409065471067 
TGO,4,217,65.81262791439983 
THA,3,50,53.18614237042146 
TJK,4,292,66.70900071893684 
TKM,0,291,58.337074672640824 
TLS,2,298,68.7234069960698 
TTO,2,216,50.4765975827619 
TUN,3,77,51.29629424071511 
TUR,3,247,69.26203921391138 
TWN,0,138,68.10006805342988 
TZA,3,290,52.71783089084651 
UGA,0,132,59.5448251538531 
UKR,3,40,59.19840186737725 
URY,2,221,62.69398966201016 
UZB,2,479,66.74722608213628 
VEN,3,363,51.98383046812153 
VNM,4,203,62.69398966201016 
VUT,4,294,66.17715009378298 
PSE,2,452,68.11482824231126 
YEM,2,409,66.5328510864167 
ZAF,4,1,60.53843937444862 
ZMB,1,299,65.83510008112425 
ZWE,3,109,56.568968586170044 
