Author,Text,User Location,Country_Code,Tweet Country,created_at,Emotion
johncorden47," : If you care for a loved one and you're eligible for the Covid-19 vaccine, you can now book online or by calling 119",coventry,None,None,2021-03-23 10:45:31,0
asiatimesonline,"Rapid spread of new Covid-19 variants, snail-paced vaccine rollout and enduring economic distress all point to Fili… ",Asia,None,None,2021-03-23 10:45:32,1
Imperial_Stats,A year in review: Imperial's COVID-19 Response Team has spent over a year tracking the trajectory of the coronaviru… ,"London, GBR",GBR,None,2021-03-23 10:45:32,2
PakinUSA,"Rep. Tom Souzzi lauded the contributions of the Pakistani-American diaspora, particularly medical professionals and… ","Washington, D.C.",USA,None,2021-03-23 10:45:32,0
KeaMotlokwa," : Truth be told, COVID-19 took so much away from us. We smile, laugh and live through the pain just so we can go on living bu…",South Africa,None,None,2021-03-23 10:45:33,1
amongmaple, : Navajo Nation has reported 0 new COVID-19 cases for the first time in six months!!!!!,,None,None,2021-03-23 10:45:33,2
bazyjonesy," : Cases of, and deaths from, Covid-19 continue to fall in the State of Texas three weeks after the Governor announced the com…",,None,None,2021-03-23 10:45:33,2
_Zubane, : Social Work lecturer Dr Maud Mthembu led a team that wrote an isiZulu children’s book about COVID-19 Uhambo lwami ngesikhathi…,Zululand,None,None,2021-03-23 10:45:34,2
Howlark1,This,,None,None,2021-03-23 10:45:34,4
jtower3653, : #BREAKING: AstraZeneca likely provided an “incomplete view of efficacy data” on COVID-19 vaccine from a large scale U.S. t…,East Millinocket Maine,None,None,2021-03-23 10:45:35,2
ThisisRaysBlog," : You hear Brazil is getting hit hard by a Covid-19 variant? Not in Maxaranguape, in northeast Brazil that adopted #Ivermect…",,None,None,2021-03-23 10:45:35,2
DumbNecromancer, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,Denmark,None,None,2021-03-23 10:45:36,2
TayEmpress," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 10:45:36,3
renGBRamendiss," : Thread: For , I looked at recent all-cause mortality data from Kerala (which showeddeaths in 2020) and Mumbai (wh…",Toronto,CAN,None,2021-03-23 10:45:38,2
