Author,Text,User Location,Country_Code,Tweet Country,created_at,Emotion
johncorden47," : If you care for a loved one and you're eligible for the Covid-19 vaccine, you can now book online or by calling 119",coventry,None,None,2021-03-23 10:45:31,joy
asiatimesonline,"Rapid spread of new Covid-19 variants, snail-paced vaccine rollout and enduring economic distress all point to Fili… ",Asia,None,None,2021-03-23 10:45:32,sadness
Imperial_Stats,A year in review: Imperial's COVID-19 Response Team has spent over a year tracking the trajectory of the coronaviru… ,"London, GBR",GBR,None,2021-03-23 10:45:32,fear
PakinUSA,"Rep. Tom Souzzi lauded the contributions of the Pakistani-American diaspora, particularly medical professionals and… ","Washington, D.C.",USA,None,2021-03-23 10:45:32,joy
KeaMotlokwa," : Truth be told, COVID-19 took so much away from us. We smile, laugh and live through the pain just so we can go on living bu…",South Africa,None,None,2021-03-23 10:45:33,sadness
amongmaple, : Navajo Nation has reported 0 new COVID-19 cases for the first time in six months!!!!!,,None,None,2021-03-23 10:45:33,fear
bazyjonesy," : Cases of, and deaths from, Covid-19 continue to fall in the State of Texas three weeks after the Governor announced the com…",,None,None,2021-03-23 10:45:33,fear
_Zubane, : Social Work lecturer Dr Maud Mthembu led a team that wrote an isiZulu children’s book about COVID-19 Uhambo lwami ngesikhathi…,Zululand,None,None,2021-03-23 10:45:34,fear
Howlark1,This,,None,None,2021-03-23 10:45:34,neutral
jtower3653, : #BREAKING: AstraZeneca likely provided an “incomplete view of efficacy data” on COVID-19 vaccine from a large scale U.S. t…,East Millinocket Maine,None,None,2021-03-23 10:45:35,fear
ThisisRaysBlog," : You hear Brazil is getting hit hard by a Covid-19 variant? Not in Maxaranguape, in northeast Brazil that adopted #Ivermect…",,None,None,2021-03-23 10:45:35,fear
DumbNecromancer, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,Denmark,None,None,2021-03-23 10:45:36,fear
TayEmpress," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 10:45:36,anger
renGBRamendiss," : Thread: For , I looked at recent all-cause mortality data from Kerala (which showeddeaths in 2020) and Mumbai (wh…",Toronto,CAN,None,2021-03-23 10:45:38,fear
nicoalameh, _tx: We just announced that the Philippines has secured 7 million additional doses of our COVID-19 vaccine through a new supply…,Araby,None,None,2021-03-23 10:45:38,joy
RefugeesUganda," : Thanks to the , , refugees like Samuel Kwai, a nurse at Koro Health Centre, Bidibidi refugee sett…","Sir Apollo Kagwa Road, Old Kla",None,None,2021-03-23 10:45:38,fear
Sunfly111," : Exclusive: Care home staff to face compulsory Covid vaccination.
Write your MP. 
The COVID-19 vaccines DO NOT STOP TRANSMISSION…",,None,None,2021-03-23 10:45:39,fear
honeybe02577966," : Situation at The Medical City.

Hospital has declared full capacity for COVID-19 patients. All 120 beds reserved for patient…","Dubai, United Arab Emirates",None,None,2021-03-23 10:45:39,fear
50Billionz," : Female Hormone Progesterone Could Save Men From COVID-19 Death, Study Claims     ",,None,None,2021-03-23 10:45:40,fear
allohio1974," _kell: AstraZeneca may have used ""outdated information"" in the results of a large-scale COVID-19 vac trial, a U.S. health agency sai…","Ohio, USA",USA,None,2021-03-23 10:45:40,fear
stipphein, : Big day today - the FLCCC Alliance Ivermectin manuscript had its expert peer-review accepted for publication! Sanity reigns…,"Cape Town, South Africa",None,None,2021-03-23 10:45:40,fear
MinZaw23443379," : We should be dealing with the COVID-19 pandemic but no, dictators of the region saw the timing as an opportunity to se…",,None,None,2021-03-23 10:45:40,fear
RandomGuyxoxo," : News: duque blames improper wearing of face masks, face shields for Covid-19 surge.

In other news: ",Probably Saturn or Pluto,None,None,2021-03-23 10:45:40,anger
redgeo,"Facing COVID-19 outbreaks and privatization, oil workers shut down refineries in Brazil ","Scotland, United Kingdom",GBR,None,2021-03-23 10:45:40,fear
seanmbarrett,"Americans gained weight after being told to stay out of public places during the COVID-19 pandemic, according to a… ","Houston, TX",US,United States,2021-03-23 10:45:41,fear
renalberich, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,chez moi,None,None,2021-03-23 10:45:41,fear
